station_a,name_a,state_a,station_b,name_b,state_b,num_trains,distance_km
MB,MORADABAD,,KGM,KATHGODAM,Uttarakhand,1,90.0
MB,MORADABAD,,BSB,VARANASI JN,,2,571.3
MB,MORADABAD,,PLS,PIPALSANA,Uttar Pradesh,2,15.0
MB,MORADABAD,,LDP,LODIPUR BISHANPUR,,1,7.1
MB,MORADABAD,,SCC,SITAPUR CANT,,1,236.4
SBI,SABARMATI JN,,SBT,SABARMATI JN,,149,0.6
SBI,SABARMATI JN,,ADI,AHMEDABAD JN,,53,5.5
SBI,SABARMATI JN,,KLRD,KALI ROAD,Gujarat,8,2.9
SBI,SABARMATI JN,,KHD,KHODIYAR,Gujarat,9,10.1
SBI,SABARMATI JN,,CLDY,CHANDLODIYA,,1,4.5
SBT,SABARMATI JN,,ADI,AHMEDABAD JN,,96,5.9
SBT,SABARMATI JN,,KLRD,KALI ROAD,Gujarat,64,2.5
SBT,SABARMATI JN,,CLDY,CHANDLODIYA,,2,4.7
SBT,SABARMATI JN,,KHD,KHODIYAR,Gujarat,6,9.7
SBT,SABARMATI JN,,KLL,KALOL JN,Gujarat,2,20.5
ADI,AHMEDABAD JN,,MAN,MANI NAGAR,,144,3.0
ADI,AHMEDABAD JN,,BRC,VADODARA JN,,1,99.3
ADI,AHMEDABAD JN,,NEP,NENPUR,,1,23.5
ADI,AHMEDABAD JN,,KEB,KARAMBELI,Gujarat,1,302.8
ADI,AHMEDABAD JN,,ASV,ASARVA JN,Gujarat,7,2.4
ADI,AHMEDABAD JN,,CLDY,CHANDLODIYA,,1,8.0
ADI,AHMEDABAD JN,,BIM,BILIMORA JN,Gujarat,1,254.4
ADI,AHMEDABAD JN,,LGH,LALGARH JN,Rajasthan,1,562.5
KLRD,KALI ROAD,Gujarat,CDK,CHANDKHERA ROAD,Gujarat,72,2.2
CDK,CHANDKHERA ROAD,Gujarat,CLDY,CHANDLODIYA,,63,4.6
CDK,CHANDKHERA ROAD,Gujarat,KHD,KHODIYAR,Gujarat,8,5.2
CDK,CHANDKHERA ROAD,Gujarat,SHRD,SAIJ SERTHA RD,Gujarat,1,12.0
CLDY,CHANDLODIYA,,KHD,KHODIYAR,Gujarat,54,9.1
CLDY,CHANDLODIYA,,SHRD,SAIJ SERTHA RD,Gujarat,1,15.5
KHD,KHODIYAR,Gujarat,SHRD,SAIJ SERTHA RD,Gujarat,73,6.9
KHD,KHODIYAR,Gujarat,KLL,KALOL JN,Gujarat,4,10.8
SHRD,SAIJ SERTHA RD,Gujarat,KLL,KALOL JN,Gujarat,75,3.9
KLL,KALOL JN,Gujarat,CTRL,CHHATRAL,Gujarat,69,4.1
KLL,KALOL JN,Gujarat,EN,ISAND,Gujarat,8,5.8
KLL,KALOL JN,Gujarat,AJM,Adraj Moti,Gujarat,10,6.5
KLL,KALOL JN,Gujarat,JUL,JHULASAN,Gujarat,2,9.7
CTRL,CHHATRAL,Gujarat,EN,ISAND,Gujarat,65,3.9
CTRL,CHHATRAL,Gujarat,KADI,Kadi,Gujarat,4,14.9
EN,ISAND,Gujarat,PN,PANSAR,Gujarat,73,1.6
PN,PANSAR,Gujarat,JUL,JHULASAN,Gujarat,73,2.3
JUL,JHULASAN,Gujarat,GUS,GHUMASAN,Gujarat,68,6.2
JUL,JHULASAN,Gujarat,DNW,DANGARWA,Gujarat,7,8.9
GUS,GHUMASAN,Gujarat,DNW,DANGARWA,Gujarat,68,2.7
DNW,DANGARWA,Gujarat,KYSD,KAIYAL SEDHAVI,Gujarat,68,3.1
DNW,DANGARWA,Gujarat,UMN,AMBLIYASAN,Gujarat,7,5.4
KYSD,KAIYAL SEDHAVI,Gujarat,UMN,AMBLIYASAN,Gujarat,68,2.3
UMN,AMBLIYASAN,Gujarat,JDN,JAGUDAN,Gujarat,74,8.6
UMN,AMBLIYASAN,Gujarat,MSH,MAHESANA JN,Gujarat,1,17.6
JDN,JAGUDAN,Gujarat,SXS,SHOBHASAN,Gujarat,68,2.4
